TravelDistance(km);TravelSpeed(m/s);TotalDistance(km);FlightTime;CONV:TakeOffMass(kg);CONV:NeededFuel(l);CONV:Costs(Euro);SERI:TakeOffMass(kg);SERI:NeededFuel(l);SERI:NeededElectricity(Wh);SERI:Costs(Euro);SERI:HybDeg;PARA:TakeOffMass(kg);PARA:NeededFuel(l);PARA:NeededElectricity(Wh);PARA:Costs(Euro);PARA:HybDeg
40.0;40.0;60.48562041217552;0:25:50;749.6766836484813;3.2140205655764476;10.62738728205052;809.772111022;0.0;10259.6685136;5.088648397926378;1.0;812.413992752;0.0;10283.9705265;5.100701847689014;1.0
40.0;45.0;60.44363045327387;0:23:58;749.8264121093064;3.378144494651527;11.177834518934173;812.423118366;0.0;11015.6011181;5.467375653394435;1.0;815.154748749;0.0;11053.8643732;5.48636686296262;1.0
40.0;50.0;60.485620412175514;0:22:30;750.106306765481;3.678190952105524;12.162199633700439;815.661100629;0.0;11956.9664621;5.930483831009747;1.0;818.452316982;0.0;11994.4065738;5.9490535892985115;1.0
40.0;55.0;60.4698741775874;0:21:17;750.4893189295335;4.09554050417546;13.545721931379294;819.530044877;0.0;13117.9374305;6.508003005914328;1.0;822.40523363;0.0;13152.656572;6.525227686123537;1.0
40.0;60.0;60.44363045327387;0:20:16;751.0420603803943;4.6978250554790675;15.544483414545178;823.662361935;0.0;14407.349784;7.150802992453099;1.0;826.655487153;0.0;14445.7592301;7.169866761031506;1.0
40.0;65.0;60.45937668786199;0:19:25;751.7775246330344;5.496637205416694;18.182910597291073;828.149492511;0.0;15874.6099538;7.8769965008523;1.0;831.259977205;0.0;15908.1568763;7.893642515583742;1.0
40.0;70.0;60.454127942999285;0:18:41;758.3188638435917;6.101999852838465;20.187206599330622;833.106576662;0.0;17577.295213;8.722627789572881;1.0;836.342633553;0.0;17598.9559515;8.73337680171003;1.0
40.0;75.0;60.45937668786199;0:18:03;771.6603982580605;6.373815086805735;21.084620569981368;841.088276309;0.0;19321.3224263;9.587258495593625;1.0;841.262475016;0.0;19333.272241;9.593188004970653;1.0
60.0;20.0;81.48059986299761;0:59:10;751.0600752895715;4.718106616624937;11.580932454002582;829.806281696;0.0;16436.1531169;6.051558215527107;1.0;833.405108548;0.0;16615.2681169;6.117505815434753;1.0
60.0;25.0;81.48059986299761;0:49:10;750.3416362958149;3.942617864824721;9.677439467686499;818.648223343;0.0;12857.528896;4.733959587049725;1.0;821.657117299;0.0;12940.0067179;4.764326750045092;1.0
60.0;30.0;81.4805998629976;0:42:30;750.1476736990011;3.7301069880762348;9.155816217229818;815.796626856;0.0;12001.0282202;4.418608198900842;1.0;818.660953426;0.0;12058.4943305;4.439766404803827;1.0
60.0;35.0;81.4701023732722;0:37:44;750.2032757035007;3.7910342713342593;9.306565625669275;816.422196097;0.0;12183.9809194;4.486546805934977;1.0;819.280251624;0.0;12236.5268555;4.50589596638868;1.0
60.0;40.0;81.48059986299761;0:34:10;750.3763499232227;3.972578713829686;9.750980529130183;818.781584114;0.0;12890.2277134;4.745998827355385;1.0;821.666345624;0.0;12934.8148744;4.762415186982696;1.0
60.0;45.0;81.46485362840949;0:31:23;750.6104811692175;4.227806667990838;10.37946176709624;822.602864437;0.0;14073.7796555;5.182767424966689;1.0;825.543263829;0.0;14098.630579;5.191918950708091;1.0
60.0;50.0;81.48059986299761;0:29:10;751.0137580688661;4.6670668332544665;11.455651630208234;826.847441549;0.0;15444.8500766;5.686574510706528;1.0;829.958155182;0.0;15490.5256081;5.703391592899148;1.0
60.0;55.0;81.42811241437056;0:27:20;751.5704252464627;5.273339580953386;12.95213514005696;831.776095624;0.0;17120.8148206;6.307704174748312;1.0;835.012956914;0.0;17157.2031204;6.321110466035587;1.0
60.0;60.0;81.4805998629976;0:25:50;752.3916638568893;6.165084519466139;15.132643917281369;837.088613655;0.0;19039.9168279;7.01022704542453;1.0;840.531066884;0.0;19082.982345;7.0260831573723115;1.0
60.0;65.0;81.4753511181349;0:24:33;753.502291745786;7.3727752872162755;18.098173707839923;844.114027975;0.0;21294.5664623;7.840862114760581;1.0;846.611201394;0.0;21327.19334;7.852875641766814;1.0
60.0;70.0;81.4701023732722;0:23:27;759.9638035173449;8.284936704181291;20.33859406785113;854.408502367;0.0;23628.862608;8.700932705254054;1.0;856.726661035;0.0;23658.3399745;8.711787251513837;1.0
60.0;75.0;81.48059986299761;0:22:30;773.4436516159049;8.740682279602728;21.454634095231032;865.927868912;0.0;26204.3075267;9.648053980000228;1.0;868.330174747;0.0;26223.3583029;9.655068205312277;1.0
80.0;20.0;102.47557931381971;1:15:50;751.989729771097;5.731103869250849;11.185306602073457;841.685876344;0.0;20745.0719334;6.073175308393407;1.0;845.821178252;0.0;21027.6119555;6.155889655750669;1.0
80.0;25.0;102.4755793138197;1:02:30;751.0367466239459;4.6924845951677225;9.158249461166797;827.375224936;0.0;15634.6828532;4.5770952331932415;1.0;830.788636806;0.0;15747.1509229;4.610020561486993;1.0
80.0;30.0;102.45458433436887;0:53:36;750.7791669676435;4.411724181156994;8.612058132526258;823.700254854;0.0;14427.7506351;4.2246281302593145;1.0;826.793727388;0.0;14496.9784721;4.2448989177842735;1.0
80.0;35.0;102.44933558950616;0:47:15;750.8459841741994;4.484489802359349;8.754551264886276;824.306130485;0.0;14619.5128158;4.2809978410335745;1.0;827.396116128;0.0;14682.5738311;4.299463851067843;1.0
